,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout,label
104,Blagoy Ivanov,Augusto Sakai,-105,-115,95.23809524,86.95652174,2020-05-30,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,3,0,5.51,0.46,0.0,0.24,0.5,3,0,7,0,0,1,0,2,0,0,3,Orthodox,190.5,195.58,265,1,0,0,3.09,0.38,0.2,1.07,0.62,2,2,14,0,0,0,2,0,0,0,2,Southpaw,180.34,185.42,250,33,29,-1,3,1,1,-2,-7,0,2,0,10.16,10.16,-4,2.42,-0.2,-0.83,1,1,13.0,12.0,17.0,17.0,17.0,17.0,12.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,S-DEC,,3.0,5:00,900.0,0.0,0.0,66.0,78.0,125.0,161.0,0.52,0.48,71.0,89.0,130.0,174.0,1.0,0.0,3.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
105,Billy Quarantillo,Spike Carlyle,-130,110,76.92307692,110.0,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Catch Weight,MALE,3,0,1,0,14.12,0.68,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Switch,172.72,180.34,145,0,1,0,10.77,0.81,4.0,0.8,0.25,1,0,2,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,145,31,27,0,0,0,0,0,-1,0,1,-1,-5.08,2.54,-4,3.35,-4.0,-0.8,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,49.0,37.0,66.0,66.0,0.74,0.56,110.0,64.0,135.0,102.0,2.0,3.0,3.0,6.0,0.66,0.5,2.0,0.0,2.0,4.0,1.0,3.0,0
106,Roosevelt Roberts,Brok Weaver,-360,300,27.77777778,300.0,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,5.57,0.73,0.8,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,Southpaw,182.88,185.42,155,0,1,0,2.87,0.46,0.5,1.84,0.63,2,1,10,0,0,0,2,0,1,0,3,Orthodox,187.96,185.42,155,26,28,0,0,-1,-2,-1,-9,0,0,-1,-5.08,0.0,2,2.7,0.3,-1.84,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,SUB,Rear Naked Choke,2.0,3:26,506.0,0.0,0.0,40.0,14.0,61.0,48.0,0.65,0.29,54.0,26.0,76.0,62.0,1.0,0.0,3.0,0.0,0.33,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0
107,Mackenzie Dern,Hannah Cifers,-420,335,23.80952381,335.0,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,4.82,0.45,0.3,0.32,1.0,2,2,10,0,0,1,1,0,0,0,2,Orthodox,154.94,157.48,115,1,0,0,3.24,0.32,0.9,0.46,0.08,2,1,7,0,0,1,0,0,1,0,2,Orthodox,162.56,160.02,115,27,27,0,0,0,0,1,3,0,0,-1,-7.62,-2.54,0,1.58,-0.6,-0.14,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,SUB,Kneebar,1.0,2:36,156.0,0.0,0.0,5.0,7.0,21.0,26.0,0.23,0.26,5.0,11.0,21.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
108,Katlyn Chookagian,Antonina Shevchenko,110,-130,110.0,76.92307692,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,1,0,4.9,0.57,1.0,0.67,1.0,1,1,8,0,0,0,1,0,1,0,2,Southpaw,172.72,170.18,125,1,0,0,4.11,0.32,0.1,0.0,0.0,3,3,27,1,0,1,5,0,0,0,6,Orthodox,175.26,172.72,125,31,35,-1,1,-2,-4,-2,-19,-1,0,1,-2.54,-2.54,4,0.79,0.9,0.67,1,1,12.0,2.0,2.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0,12.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,U-DEC,,3.0,5:00,900.0,0.0,0.0,73.0,25.0,108.0,64.0,0.67,0.39,200.0,37.0,240.0,76.0,3.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0
109,Daniel Rodriguez,Gabe Green,-335,275,29.85074627,275.0,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,177.8,185.42,170,0,1,0,6.65,0.45,0.6,2.54,0.8,1,0,2,0,0,0,0,0,1,0,1,Southpaw,185.42,187.96,170,33,27,0,-1,-1,-1,0,-2,0,0,-1,-7.62,-2.54,-6,-6.65,-0.6,-2.54,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,175.0,127.0,344.0,273.0,0.5,0.46,175.0,127.0,345.0,273.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
110,Jamahal Hill,Klidson Abreu,-117,-103,85.47008547,97.08737864,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,2.02,0.39,0.0,0.67,0.2,1,2,9,0,0,0,1,0,0,0,1,Orthodox,182.88,187.96,205,0,1,0,7.92,0.52,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,193.04,200.66,205,29,27,1,-1,0,0,2,6,0,0,0,-10.16,-12.7,-2,-5.9,0.0,0.67,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,KO/TKO,Knee,1.0,1:51,111.0,2.0,0.0,14.0,5.0,24.0,7.0,0.58,0.71,14.0,5.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,Tim Elliott,Brandon Royval,-162,142,61.72839506,142.0,2020-05-30,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,172.72,125,2,0,0,3.49,0.46,1.2,4.14,0.57,2,8,31,1,0,0,3,0,1,0,4,Southpaw,170.18,167.64,125,33,27,-2,0,-2,-4,-8,-31,-1,0,-1,5.08,5.08,-6,-3.49,-1.2,-4.14,1,1,17.0,11.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,SUB,Arm Triangle,2.0,3:18,498.0,0.0,0.0,17.0,16.0,32.0,33.0,0.53,0.48,40.0,22.0,55.0,41.0,4.0,1.0,10.0,1.0,0.4,1.0,0.0,2.0,2.0,3.0,1.0,1.0,1
112,Louis Smolka,Casey Kenney,230,-270,230.0,37.03703704,2020-05-30,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,1,0,0,3.39,0.4,0.6,1.4,0.5,2,1,9,0,0,0,2,0,0,0,2,Southpaw,170.18,172.72,135,0,1,0,4.22,0.46,2.1,1.65,0.34,4,6,30,0,0,0,2,3,2,0,7,Orthodox,177.8,185.42,135,28,29,1,-1,-2,-5,-5,-21,0,-3,-2,-7.62,-12.7,1,-0.83,-1.5,-0.25,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,SUB,Guillotine Choke,1.0,3:03,183.0,0.0,0.0,18.0,32.0,43.0,52.0,0.41,0.61,18.0,32.0,43.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
113,Chris Gutierrez,Vince Morales,-110,-110,90.90909091,90.90909091,2020-05-30,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,4.84,0.39,0.0,0.0,0.0,1,2,9,0,0,0,1,0,0,0,1,Orthodox,170.18,177.8,145,0,2,0,3.65,0.55,0.0,0.38,0.33,2,1,8,0,0,1,1,0,0,0,2,Orthodox,175.26,170.18,145,29,29,1,-2,-1,-1,1,1,0,0,0,-5.08,7.62,0,1.19,0.0,-0.38,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,KO/TKO,Kick,2.0,4:27,567.0,2.0,0.0,60.0,8.0,94.0,27.0,0.63,0.29,60.0,8.0,94.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
114,Alistair Overeem,Walt Harris,135,-155,135.0,64.51612903,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,MALE,5,1,0,0,2.97,0.39,0.2,0.32,0.33,3,7,22,0,0,0,0,0,0,0,6,Southpaw,195.58,195.58,250,0,1,0,3.66,0.63,0.9,1.4,0.54,11,15,76,3,0,0,0,0,0,0,32,Orthodox,193.04,203.2,265,39,36,1,-1,-8,-26,-8,-54,-3,0,0,2.54,-7.62,-3,-0.69,-0.7,-1.08,1,1,9.0,8.0,17.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,9.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,KO/TKO,Punches,2.0,3:00,480.0,1.0,1.0,68.0,25.0,85.0,48.0,0.8,0.52,97.0,25.0,115.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
115,Claudia Gadelha,Angela Hill,-255,215,39.21568627,215.0,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,5.76,0.49,0.2,0.47,0.37,3,8,37,0,0,0,0,0,0,0,7,Orthodox,160.02,162.56,115,0,2,0,3.4,0.41,0.7,3.13,0.45,2,4,30,1,0,0,0,0,0,0,7,Orthodox,162.56,160.02,115,31,35,1,-2,1,0,4,7,-1,0,0,-2.54,2.54,4,2.36,-0.5,-2.66,1,1,17.0,6.0,17.0,17.0,6.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,14.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,S-DEC,,3.0,5:00,900.0,0.0,1.0,84.0,90.0,210.0,176.0,0.4,0.51,92.0,93.0,218.0,179.0,1.0,0.0,4.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
116,Dan Ige,Edson Barboza,112,-132,112.0,75.75757576,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,3,0,0,4.08,0.43,0.1,0.46,0.44,4,9,55,0,0,0,0,0,0,0,14,Orthodox,180.34,190.5,145,0,6,0,4.12,0.48,0.7,2.15,0.34,6,1,14,0,0,0,0,0,0,0,6,Orthodox,170.18,180.34,145,28,34,3,-6,-2,8,8,41,0,0,0,10.16,10.16,6,-0.04,-0.6,-1.69,1,1,17.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,11.0,17.0,17.0,17.0,17.0,Red,S-DEC,,3.0,5:00,900.0,0.0,1.0,79.0,80.0,164.0,144.0,0.48,0.55,100.0,87.0,189.0,152.0,1.0,0.0,4.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
117,Krzysztof Jotko,Eryk Anders,-105,-105,95.23809524,95.23809524,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.02,0.45,0.1,1.34,0.34,2,5,25,0,0,0,0,0,0,0,5,Southpaw,185.42,190.5,185,0,3,0,2.98,0.45,0.1,1.27,0.35,5,4,32,0,0,0,0,0,0,0,9,Southpaw,185.42,195.58,185,30,33,1,-3,-3,-4,1,-7,0,0,0,0.0,-5.08,3,0.04,0.0,0.07,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,,,,,,,,,,,,0
118,Song Yadong,Marlon Vera,-200,170,50.0,170.0,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,3.7,0.48,1.3,0.88,0.42,5,5,31,0,0,0,0,0,0,0,9,Switch,172.72,177.8,145,0,5,1,4.32,0.42,0.5,0.73,0.75,4,0,10,0,0,0,0,0,0,0,5,Orthodox,172.72,170.18,145,22,27,1,-5,1,4,5,21,0,0,0,0.0,7.62,5,-0.62,0.8,0.15,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,14.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,101.0,92.0,201.0,164.0,0.5,0.56,119.0,115.0,221.0,187.0,0.0,2.0,1.0,3.0,0.0,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0
119,Miguel Baeza,Matt Brown,-155,-155,64.51612903,64.51612903,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,3.81,0.54,1.5,1.6,0.47,7,11,56,0,0,0,0,0,0,0,15,Orthodox,182.88,190.5,170,0,2,0,4.78,0.56,1.1,0.54,0.33,2,0,2,0,0,0,0,0,0,0,2,Orthodox,187.96,187.96,170,27,39,1,-2,5,13,11,54,0,0,0,-5.08,2.54,12,-0.97,0.4,1.06,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,KO/TKO,Punch,2.0,0:18,318.0,,,,,,,,,,,,,,,,,,,,,,,,,0
120,Kevin Holland,Anthony Hernandez,-110,-110,90.90909091,90.90909091,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,5.03,0.53,0.9,5.27,0.66,1,2,4,0,0,0,0,0,0,0,1,Orthodox,182.88,190.5,185,0,1,0,4.29,0.55,1.1,1.26,0.43,3,2,14,0,0,0,0,0,0,0,4,Orthodox,190.5,205.74,170,27,26,1,-1,-2,-3,0,-10,0,0,0,-7.62,-15.24,-1,0.74,-0.2,4.01,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,KO/TKO,Knees,1.0,0:39,39.0,,,,,,,,,,,,,,,,,,,,,,,,,0
121,Giga Chikadze,Irwin Rivera,-420,335,23.80952381,335.0,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,2.27,0.36,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,Southpaw,167.64,0.0,145,0,3,0,3.31,0.44,0.0,0.51,0.5,3,0,6,0,0,0,0,0,0,0,3,Orthodox,182.88,187.96,145,31,31,1,-3,-3,-3,1,-6,0,0,0,-15.24,-187.96,0,-1.04,0.0,-0.51,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,1.0,0.0,61.0,34.0,135.0,94.0,0.45,0.36,61.0,35.0,135.0,95.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,Nate Landwehr,Darren Elkins,100,-120,100.0,83.33333333,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,4,0,0,3.54,0.37,1.2,2.43,0.33,6,8,54,0,0,0,0,0,0,0,14,Orthodox,177.8,180.34,145,0,1,0,6.89,0.5,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,1,Orthodox,175.26,182.88,145,31,36,4,-1,5,13,7,53,0,0,0,2.54,-2.54,5,-3.35,1.2,2.43,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,,,,,,,,,,,,,0
123,Cortney Casey,Mara Romero Borella,-185,160,54.05405405,160.0,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Women's Flyweight,FEMALE,3,3,0,0,2.54,0.37,0.2,1.66,0.43,1,4,13,0,0,0,0,0,0,0,2,Orthodox,167.64,175.26,125,0,1,0,4.72,0.38,0.7,0.34,0.3,2,6,26,0,0,0,0,0,0,0,5,Orthodox,170.18,170.18,125,33,33,3,-1,-1,-3,-2,-13,0,0,0,-2.54,5.08,0,-2.18,-0.5,1.32,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,SUB,Armbar,1.0,3:36,216.0,0.0,0.0,6.0,5.0,12.0,7.0,0.5,0.71,18.0,21.0,24.0,24.0,0.0,1.0,0.0,2.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0
124,Rodrigo Nascimento,Don'Tale Mayes,-115,-105,86.95652174,95.23809524,2020-05-16,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,MALE,3,2,0,0,4.19,0.45,0.0,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,198.12,205.74,260,0,1,0,4.44,0.56,2.9,2.9,1.0,1,0,0,0,0,0,0,0,0,0,1,Orthodox,187.96,203.2,246,27,28,2,-1,-1,-1,2,3,0,0,0,10.16,2.54,1,-0.25,-2.9,-2.9,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,SUB,Rear Naked Choke,2.0,2:05,425.0,0.0,0.0,32.0,27.0,52.0,48.0,0.61,0.56,45.0,42.0,65.0,65.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
125,Anthony Smith,Glover Teixeira,-175,155,57.14285714,155.0,2020-05-13,"Jacksonville, Florida, USA",USA,Blue,False,Light Heavyweight,MALE,5,0,3,0,3.41,0.44,1.0,2.0,0.38,8,6,46,1,0,1,2,7,6,0,16,Orthodox,187.96,193.04,205,0,1,0,3.06,0.47,0.8,0.41,0.26,3,6,37,1,0,0,1,6,3,0,10,Orthodox,193.04,193.04,205,31,40,0,2,5,6,0,9,0,1,3,-5.08,0.0,9,0.35,0.2,1.59,1,1,8.0,4.0,17.0,17.0,17.0,17.0,17.0,4.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,KO/TKO,Punches,5.0,1:04,1264.0,0.0,1.0,86.0,138.0,210.0,226.0,0.4,0.61,87.0,202.0,212.0,297.0,1.0,1.0,3.0,2.0,0.33,0.5,0.0,0.0,0.0,5.0,0.0,0.0,1
126,Ben Rothwell,Ovince Saint Preux,112,-132,112.0,75.75757576,2020-05-13,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,MALE,3,0,1,0,2.59,0.46,0.6,1.34,0.4,5,9,62,1,1,0,4,8,5,0,18,Southpaw,190.5,203.2,230,0,1,0,3.34,0.42,0.3,0.66,0.33,6,7,45,0,0,1,2,9,2,0,14,Orthodox,193.04,198.12,265,38,37,0,0,-1,4,2,17,1,-1,3,-2.54,5.08,-1,-0.75,0.3,0.68,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,S-DEC,,3.0,5:00,900.0,0.0,1.0,56.0,42.0,110.0,82.0,0.5,0.51,86.0,46.0,142.0,87.0,1.0,0.0,3.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
127,Alexander Hernandez,Drew Dober,100,-120,100.0,83.33333333,2020-05-13,"Jacksonville, Florida, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,4.51,0.4,0.1,0.95,0.17,3,5,28,0,0,0,3,5,1,0,9,Southpaw,172.72,177.8,155,0,1,0,3.07,0.41,0.0,1.52,0.3,2,1,9,0,0,0,2,1,0,0,3,Orthodox,175.26,182.88,155,27,31,0,1,1,6,4,19,0,4,1,-2.54,-5.08,4,1.44,0.1,-0.57,1,1,17.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Red,KO/TKO,Punches,2.0,4:25,565.0,0.0,0.0,34.0,61.0,108.0,145.0,0.31,0.42,41.0,65.0,115.0,149.0,3.0,0.0,5.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
128,Ricky Simon,Ray Borg,-170,150,58.82352941,150.0,2020-05-13,"Jacksonville, Florida, USA",USA,Red,False,Bantamweight,MALE,3,0,2,0,1.36,0.52,1.1,4.26,0.51,3,4,33,1,0,0,5,0,2,0,7,Orthodox,162.56,160.02,135,2,0,0,2.96,0.4,0.2,6.53,0.49,3,2,13,0,0,0,2,1,0,0,3,Orthodox,167.64,175.26,135,27,26,-2,2,0,4,2,20,1,-1,2,-5.08,-15.24,-1,-1.6,0.9,-2.27,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,S-DEC,,3.0,5:00,900.0,0.0,0.0,67.0,47.0,144.0,91.0,0.46,0.51,93.0,53.0,170.0,98.0,7.0,0.0,11.0,2.0,0.63,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0
129,Andrei Arlovski,Philipe Lins,130,-150,130.0,66.66666667,2020-05-13,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,240,1,0,0,3.55,0.44,0.3,0.52,0.36,6,17,77,5,0,1,5,11,2,0,19,Orthodox,190.5,195.58,240,41,34,-1,0,-6,-19,-17,-77,-5,-11,-2,-2.54,2.54,-7,-3.55,-0.3,-0.52,1,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,50.0,41.0,107.0,99.0,0.46,0.41,50.0,41.0,107.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
